publish_date,headline_text,tag
20100101,Albania: Prime Minister Sali Berisha is the most successful leader in Europe,Genuine
20100101,Albuquerque palmist forecasts 2010 for writers,Clickbait
20100101,Alfred Hitchcock thrillers Sundays on BBC,Clickbait
20100101,Alganon state of the game - December,Clickbait
20100101,Al Hoang Inauguration Reception,Genuine
20100101,A life coach can help you make those New Year's resolutions come true,Genuine
20100101,A life lesson for Tiger,Clickbait
20100101,Aliso Creek restoration stakeholders hoping for federal stimulus dollars,Clickbait
20100101,All-Day New Years Brunch at Goose Island Clybourn,Genuine
20100101,A look at a Taliban New Year,Clickbait
20100101,A look back at 2009's cancelled TV shows and a glimpse ahead at what 2010 holds in store,Genuine
20100101,Alternative healing for horses? How about a magnet!,Clickbait
20100101,Amanda Knox conviction leads to Seattle scrapping 'Perugia' as name for new park,Genuine
20100101,A Medieval Themed Wedding part 2 The Wedding Apparel on Wedding Fashion Friday!,Genuine
20100101,Americana Vineyards and Crystal Lake Cafe: Wine Tasting on Lake Cayuga in the Finger Lakes Region,Genuine
20100101,'American Idol:' Adam Lambert chats with reporters before performance,Genuine
20100101,'American Idol:' Kris Allen hits up Las Vegas,Genuine
20100101,'American Idol:' see Adam Lambert's New Year's Eve performance,Genuine
20100101,American Idol's new season,Clickbait
20100101,Amo Joy tour begins today,Genuine
20100101,A Multicultural Celebration of New Years in Washington DC,Clickbait
20100101,Anatomy of a couple squabble that could have become a war,Genuine
20100101,A new God both Atheists and Theists can believe in,Genuine
20100101,A new idea for your vacation - voluntourism,Clickbait
20100101,A New Year and a new slate,Clickbait
20100101,"A new year, a new location",Clickbait
20100101,A new year fresh start with free on demand yoga,Genuine
20100101,A new year in gaming,Clickbait
20100101,A New Year's Resolution Diet Primer,Clickbait
20100101,A New Year's resolution for activists,Clickbait
20100101,A New Year's Resolution for an Allergy-Friendly Year,Genuine
20100101,A New Year's resolution to get your art degree at a school in Austin,Genuine
20100101,"Angeleana M. Walker is missing girl in Spokane, Washington",Genuine
20100101,Angelina Jolie wins title of 'Beauty Icon of the Decade' in the U.K.,Genuine
20100101,An interview with Minnesota homeschool mother and author Erica Vetsch,Genuine
20100101,Annual New Years 'Twilight Zone' marathon on the Syfy channel,Genuine
20100101,Another outstanding effort wasted in loss to Lakers,Clickbait
20100101,Anticipating new fiction books in 2010,Clickbait
20100101,Antiques & auction marketplace predictions for 2010,Clickbait
20100101,ANTM winner Whitney Thompson takes on Crystal Renn in plus-size model market,Genuine
20100101,An updated history of San Francisco climate,Clickbait
20100101,"Aoke breaks Hirato arm (video), not for the weak of heart",Clickbait
20100101,A Perfect Ten ...,Clickbait
20100101,A positive attitude creates positive pet grooming,Clickbait
20100101,Apple Boot Camp users frustrated over Windows 7 support delay,Genuine
20100101,Apple Pancake- a weekend treat,Clickbait
20100101,Arctic air locks in over region; Lake effect snow warning for northern Indiana and SW Michigan,Genuine
20100101,Are fights over food & nutrition the number one cause that sends gals to abused spouses shelters?,Genuine
20100101,"Arenas, Crittenton pull guns Christmas Eve",Genuine
20100101,Aren't Coaches supposed to be teachers?,Clickbait
20100101,Are there more bacteria on blown-on birthday cakes and in machine-made ice than in toilets?,Genuine
20100101,Arizona Republican Party wants no change: McCain again?,Genuine
20100101,Arizona's resurrection Mary,Clickbait
20100101,Arizona Wildcats fall to USC in Pac-10 basketball opener,Clickbait
20100101,Armored,Genuine
20100101,Arrest and release Rabbi Meir Kahane grandson for West Bank mosque fire,Genuine
20100101,Arrests made by Ecorse police in drug-related killing of Keon Butcher,Genuine
20100101,'Art After Five' at the Philadelphia Art Museum,Genuine
20100101,Artists to keep an eye on in 2010,Clickbait
20100101,Ashley Jo Beach,Genuine
20100101,"As of today, Mayo Clinic in Arizona drops most Medicare patients",Genuine
20100101,Assessing Obama's 2009 foreign policy: time for him to walk the talk,Genuine
20100101,"As temperatures fall, so do room rates at The Colonnade Hotel, Boston",Genuine
20100101,As the pendulum swings ...,Clickbait
20100101,ATA-CODEGA offer driver training materials,Genuine
20100101,A tale of two Presidents,Clickbait
20100101,A toast to J.R.R. Tolkien for his January 3 birthday - author of faith-based Lord of the Rings,Genuine
20100101,A Travel Photographer's New Year's Resolution for 2010,Genuine
20100101,Attempted bombing of airplane highlights 'Security Illusion',Clickbait
20100101,"AT&T joins Gillette, Gatorade, Tag Heuer, and Accenture in cutting or scaling back sponsor deals",Genuine
20100101,Attorney general opines that electronic communications by elected officials are public record,Genuine
20100101,Auburn squeeks by Northwestern in wild Outback Bowl 38-35 (OT),Clickbait
20100101,Auditions for Arkansas Shakespeare Theatre announced,Clickbait
20100101,Audrina Patridge's obsessed fan sentenced to community service,Clickbait
20100101,"Au pairs 101: Au pair phone interview questions, part II",Genuine
20100101,Austin Theater Examiner Award Winners,Genuine
20100101,Autism 2010: Keep Your Resolution to Autism,Clickbait
20100101,Avatar is a powerful metaphor for our own challenges,Clickbait
20100101,'Avatar' rings in the new year as the leader of the Friday Night Five at the box office (UPDATE),Clickbait
20100101,Avoiding a (relationship) hangover,Clickbait
20100101,Avoid injuries while starting your New Year fitness resolution,Clickbait
20100101,A wake up call for Rush Limbaugh,Clickbait
20100101,A West Hollywood New Year,Clickbait
20100101,A winter dog walk at Waterbury Reservoir,Clickbait
20100101,Bad news for mega-pastor over this weekend,Clickbait
20100101,"Bama wraps up phase two of practices, quotes from Arenas/Maze",Genuine
20100101,Basic pork brine recipe,Genuine
20100101,Basterds leads OFCS nominations,Genuine
20100101,Bath time is both sacred and healthy,Clickbait
20100101,"Bayonetta, Mass Effect 2 and Army of Two: The 40th Day highlight January releases",Genuine
20100101,BBC offers fashion reality with a twist on Britain's Missing Top Model,Genuine
20100101,BCS works at New Year's Day's expense,Clickbait
20100101,Beat Cabin Fever with Free Nature Hikes,Clickbait
20100101,"Become Facebook friends with the City of Longmont's Fire, Police and Office of Emergency Management",Genuine
20100101,Beef stroganoff recipe,Genuine
20100101,Behold! Understanding the Tower of Babel,Clickbait
20100101,Being able to withstand the storms of the coming years,Genuine
20100101,Benjamin Bratt to guest star on Modern Family,Clickbait
20100101,Bensalem pigeon shoot highlights need for new law in Pennsylvania,Genuine
20100101,Best and worst pet scenarios of 2009,Clickbait
20100101,Best beauty bet? Kale!,Clickbait
20100101,Best films of the decade,Clickbait
20100101,Best free office productivity websites,Genuine
20100101,"Best life 2010, Or, using your feelings for a change",Genuine
20100101,Best newspaper headline advice for Las Vegas Valley heading into 2010,Genuine
20100101,Best of 2009 Grooming the Groom winners,Clickbait
20100101,Best video games of 2009,Clickbait
20100101,Better than a New Year's Resolution: Keeping a journal: Healthy living journals,Genuine
20100101,Beverly Hills Chihuahuas bound for Boulder,Clickbait
20100101,BHO's INTERPOL executive order harmless?,Clickbait
20100101,BIG CLUB; BIG HEART THE CLUB FITNESS CENTER FOR WOMEN OFFERS 2010 DISCOUNTS FOR WOMEN WITH CANCER,Genuine
20100101,Biggest Loser Erik Chopin loses weight and regains health on 'Confessions of a Reality Show Loser',Genuine
20100101,Big gluten-free news of 2009,Clickbait
